Name,Sector,Years.of.Operation,What.They.Did,How.Much.They.Raised,Why.They.Failed,Takeaway
Avant,Finance and Insurance,2012-2023,Online personal loans,$655M,Lost to LendingClub and high defaults,Lending needs risk balance
Bitpass,Finance and Insurance,2002-2008,Micropayments platform,$2M,Lost to PayPal and low adoption,Micropayments need mass use
Cake Financial,Finance and Insurance,2006-2011,Portfolio tracking tool,$3M,Lost to Mint and sold to TradeKing,Finance tools need scale
Circle,Finance and Insurance,2013-2023,Crypto payments and stablecoin,$500M,Lost to Coinbase and market shifts,Crypto needs stability
Clarity Money,Finance and Insurance,2016-2022,Personal finance app,$11M,Lost to Mint/Acorns and sold to Goldman,Finance apps need edge
Clinkle,Finance and Insurance,2011-2016,Mobile wallet,$30M,No product vs Apple Pay/PayPal,Execution over promises
Coinbase NFT,Finance and Insurance,2021-2023,NFT marketplace,$0 (Coinbase-funded),Lost to OpenSea and NFT crash,NFTs need timing
FundersClub,Finance and Insurance,2012-2022,Crowdfunding for startups,$20M,Lost to Kickstarter and low ROI,Crowdfunding needs hits
Fuze Network,Finance and Insurance,2010-2016,Prepaid card payments,$5M,Lost to Green Dot and small scale,Prepaid needs reach
Indiegogo Life,Finance and Insurance,2014-2019,Personal crowdfunding,$10M (est.),Lost to GoFundMe and niche focus,Personal funding needs appeal
Isentium,Finance and Insurance,2012-2020,Social sentiment for trading,$15M,Lost to Bloomberg and low uptake,Trading tools need traction
LendUp,Finance and Insurance,2012-2021,Loans for subprime borrowers,$350M,Regulatory fines and OppLoans competition,Fintech can’t skirt regs
LendingClub,Finance and Insurance,2006-2021,P2P lending platform,$1B,Lost to banks and trust issues,P2P needs trust
LendLayer,Finance and Insurance,2013-2017,Coding bootcamp loans,$0.4M,Lost to Affirm and sold,Small niches get swallowed
Loyal3,Finance and Insurance,2008-2018,Commission-free brokerage,$30M,Lost to Robinhood and closed,Brokerages need volume
Money360,Finance and Insurance,2012-2020,Real estate lending platform,$10M (est.),Lost to Fundrise and slow growth,Lending needs scale
Monitor110,Finance and Insurance,2005-2008,Financial data aggregator,$3M (est.),Lost to Bloomberg and early market,Timing is key
Mozido,Finance and Insurance,2008-2017,Mobile payments platform,$185M,Lost to Square and mismanagement,Payments need execution
Pawngo,Finance and Insurance,2011-2017,Online pawn lending,$6M,Lost to traditional pawnshops and niche,Niche lending needs demand
Pay By Touch,Finance and Insurance,2002-2007,Biometric payments,$300M (est.),Lost to PayPal and tech issues,Biometrics need reliability
Plum Will,Finance and Insurance,2015-2020,Digital estate planning,$2M (est.),Lost to LegalZoom and low uptake,Estate tech needs traction
PoundPay,Finance and Insurance,2009-2013,Payment gateway,$1M (est.),Lost to Stripe and sold,Payments need scale
ReadyForZero,Finance and Insurance,2010-2017,Debt management app,$5M,Lost to Credit Karma and sold,Debt tools need edge
RushCard,Finance and Insurance,2003-2018,Prepaid debit card,$20M (est.),Lost to Chime and trust issues,Prepaid needs trust
Seed,Finance and Insurance,2012-2017,Small biz banking,$5M,Lost to Brex and closed,Banking needs scale
Sensible,Finance and Insurance,2016-2020,Personal finance for gig workers,$4M (est.),Lost to Even and niche,Niche finance needs reach
SigFig,Finance and Insurance,2007-2018,Robo-advisor,$70M,Lost to Wealthfront and sold,Robo-advisors need edge
Simple,Finance and Insurance,2009-2016,Neobank with budgeting,$25M,Lost to Chime/Ally and shut post-BBVA sale,Neobanks need independence
SmartAsset,Finance and Insurance,2012-2023,Financial planning tools,$161M,Lost to NerdWallet and slow growth,Planning needs traction
SoFi Social,Finance and Insurance,2016-2021,Social finance platform,$0 (SoFi-funded),Lost to Robinhood and niche,Social finance needs scale
Square Cash,Finance and Insurance,2013-2020,P2P payments (early),$0 (Square-funded),Lost to Venmo and pivoted,Payments need dominance
Taulia,Finance and Insurance,2009-2022,Supply chain finance,$200M,Lost to Coupa and sold,Finance needs edge
Tilt,Finance and Insurance,2012-2018,Social crowdfunding,$67M,Lost to GoFundMe and sold,Crowdfunding needs mass
Toshl,Finance and Insurance,2008-2020,Personal finance app,$1M (est.),Lost to Mint and low scale,Finance apps need reach
TrustEgg,Finance and Insurance,2012-2016,Crowdfunded trusts,$0.5M (est.),Lost to traditional trusts and niche,Niche needs demand
Upstart,Finance and Insurance,2012-2023,AI-driven lending,$144M,Lost to banks and high defaults,Lending needs stability
Vemo,Finance and Insurance,2015-2021,Income-share agreements,$20M (est.),Lost to Lambda School and regs,ISAs need traction
Venmo Groups,Finance and Insurance,2015-2020,Group payments feature,$0 (Venmo-funded),Lost to Splitwise and niche,Niche payments need use
Vittana,Finance and Insurance,2008-2015,Student microloans,$5M (est.),Lost to SoFi and low scale,Microloans need reach
Wealthfront Cash,Finance and Insurance,2018-2023,High-yield savings,$0 (Wealthfront-funded),Lost to Ally and pivoted,Savings need edge
Wealthsimple Trade,Finance and Insurance,2017-2023,Commission-free trading,$0 (Wealthsimple-funded),Lost to Robinhood and pivoted,Trading needs volume
Wepay,Finance and Insurance,2008-2020,Payment processing,$75M,Lost to Stripe and sold,Payments need scale
Wesabe,Finance and Insurance,2006-2011,Personal finance app,$4M,Lost to Mint and early market,Timing matters
Wise,Finance and Insurance,2011-2023,International transfers,$689M,Lost to PayPal and high costs,Transfers need edge
YayPay,Finance and Insurance,2015-2021,Accounts receivable automation,$15M,Lost to Bill.com and sold,Automation needs scale
Ycharts,Finance and Insurance,2009-2021,Financial data platform,$15M,Lost to Bloomberg and sold,Data needs dominance
ZestFinance,Finance and Insurance,2009-2020,AI underwriting loans,$112M,Lost to Upstart and regs,Lending needs compliance
Cafe X,Accommodation and Food Services,6 (2015-2021),Robotic coffee kiosks,$15M,Closed 2021; low adoption; lost to Starbucks,Humans trump robots
Caviar,Accommodation and Food Services,8 (2012-2020),Premium food delivery,$90M,Sold 2020; couldn't scale; lost to DoorDash,Premium loses to scale
Chef'd,Accommodation and Food Services,5 (2014-2019),Meal kit delivery,$35M,Closed 2019; high costs; lost to Blue Apron,Costs cook meal kits
ChowNow,Accommodation and Food Services,12 (2011-2023),Restaurant ordering platform,$64M,Faded 2023; lost to DoorDash,Middlemen get squeezed
Clover,Accommodation and Food Services,8 (2012-2020),Plant-based fast food chain,$20M,Closed 2020; niche; lost to McDonald's,Niche eats need taste
Curb Food,Accommodation and Food Services,4 (2019-2023),Automated ghost kitchens,$10M,Closed 2023; tech glitches; lost to DoorDash,Robots need results
Dinner Lab,Accommodation and Food Services,6 (2011-2017),Pop-up dining events,$10M,Closed 2017; high costs; low demand,Events need economics
Flowtab,Accommodation and Food Services,3 (2011-2014),Bar ordering app,$2M,Closed 2014; low adoption; lost to POS systems,Convenience needs converts
Foodler,Accommodation and Food Services,14 (2004-2018),Food delivery aggregator,$5M,Sold 2018; lost to Grubhub,Aggregators need scale
Grubwithus,Accommodation and Food Services,5 (2010-2015),Social dining events,$8M,Closed 2015; waned demand; high costs,Social dining needs crowd
Maple,Accommodation and Food Services,5 (2014-2019),Premium meal delivery,$50M,Closed 2019; high costs; lost to DoorDash,Premium food needs profit
Munchery,Accommodation and Food Services,8 (2010-2018),Chef-prepared meal delivery,$125M,Bankruptcy 2018; overexpansion; lost to Grubhub,Expansion eats cash
Nosh,Accommodation and Food Services,4 (2013-2017),Healthy meal delivery,$5M,Closed 2017; low demand; lost to HelloFresh,Health needs scale
OrderAhead,Accommodation and Food Services,6 (2011-2017),Restaurant pickup app,$10M,Sold 2017; lost to DoorDash,Pickup needs giants
Presto,Accommodation and Food Services,5 (2015-2020),Restaurant ordering tablets,$30M,Closed 2020; low adoption; lost to Ziosk,Tech needs diners
Revolution Foods,Accommodation and Food Services,15 (2006-2021),Healthy school meals,$120M,Faded 2021; high costs; lost to Aramark,Schools squeeze margins
Ritual,Accommodation and Food Services,8 (2014-2022),Food pickup app,$135M,Faded 2022; lost to DoorDash; pickup waned,Delivery beats pickup
SpoonRocket,Accommodation and Food Services,4 (2013-2017),On-demand meal delivery,$13M,Closed 2017; thin margins; lost to DoorDash,Speed costs too much
Sprig,Accommodation and Food Services,4 (2013-2017),Organic meal delivery,$57M,Closed 2017; high costs; lost to Uber Eats,Organic's pricey
Tonx,Accommodation and Food Services,5 (2012-2017),Coffee subscription service,$4M,Sold 2017; lost to Blue Bottle,Beans need scale
Zesty,Accommodation and Food Services,7 (2012-2019),Healthy meal delivery,$20M,Closed 2019; high costs; lost to DoorDash,Health needs scale
Zomato Base,Accommodation and Food Services,5 (2015-2020),Restaurant management tool,$660M (Zomato),Phased out 2020; lost to Toast,Tools need focus
Deskbeers,Accommodation and Food Services,5 (2014-2019),Craft beer subscription,$1M,Closed 2019; niche; lost to local bars,Booze needs breadth
HelloFresh Recipe,Accommodation and Food Services,8 (2012-2020),Recipe platform spinoff,$300M (HelloFresh),Phased out 2020; lost to Blue Apron,Spinoffs need spark
Tavour,Accommodation and Food Services,9 (2013-2022),Craft beer delivery,$10M,Faded 2022; lost to Total Wine,Craft needs scale
Tastemade Travel,Accommodation and Food Services,5 (2017-2022),Food-tourism platform,$80M (Tastemade),Faded 2022; low demand; lost to Airbnb,Travel eats budgets
Aira Health,Health Care,2015-2019,Personalized asthma/allergy app,$12M,Small user base and cash shortage,Niche apps need big audiences
Amino,Health Care,2013-2021,Doctor search and cost estimation,$45M,Lost to Zocdoc/GoodRx and slow adoption,Narrow focus beats broad
Arivale,Health Care,2015-2019,Personalized health coaching,$50M,High costs and low demand,Premium needs mass market
Augmedix,Health Care,2012-2024,Remote medical scribes,$150M,Lost to software rivals and acquired,Flexibility beats rigidity
Avizia,Health Care,2014-2018,Telemedicine for hospitals,$32M,Outpaced by bigger rivals and acquired,Niche needs a moat
Babylon Health,Health Care,2013-2023,AI-powered telemedicine,$635M,Overexpansion and losses,Quality must match scale
Basis,Health Care,2014-2016,Health smartwatch,$30M,Overheating and competition,Reliability is make-or-break
Better,Health Care,2016-2023,Mental health for employees,$4.5M,Crowded market and no differentiation,Unique value is critical
BetterHelp,Health Care,2013-2017,Online therapy (early),$31M,Trust issues and competition,Trust comes first
BioBeats,Health Care,2014-2020,Stress monitoring wearable,$7M,Lost to bigger players and acquired,Standout use case needed
Call9,Health Care,2015-2019,Telemedicine for nursing homes,$34M,Slow growth and high costs,Execution must scale
Cardiogram,Health Care,2016-2021,Heart rate analysis app,$2M,Monetization and differentiation woes,Validation is key
CareSync,Health Care,2011-2018,Care coordination platform,$48M,No payer contracts and revenue,Need payer buy-in
CareZone,Health Care,2013-2020,Medication management app,$161M,Lost to free tools and sold,Defensible revenue matters
Clarityn,Health Care,2016-2020,AI eye diagnostics,$20M,Lost to IDx and regulatory delays,Regulatory wins are key
Clinkle,Health Care,2011-2016,Mobile wallet (health-adjacent),$30M,Leadership and no product,Execution over promises
Cue Health,Health Care,2014-2024,At-home diagnostics,$404M,Post-COVID crash and costs,Plan for cycles
Dopamine Labs,Health Care,2015-2019,Behavioral tech for apps,$2.5M,Lost focus and faded,Focus wins in health
Doxy.me,Health Care,2013-2018,Free telemedicine (early),$5M,Free model unsustainable,Monetization is key
Driver,Health Care,2018-2018,Cancer trial matching,$lowM,Bad pricing and funding,Validate willingness to pay
Dthera Sciences,Health Care,2016-2020,Alzheimer’s therapeutic,$3M,Small market and funding,Niche needs deep pockets
Eargo,Health Care,2010-2023,Hearing aids,$316M,Fraud allegations and competition,Trust is king
FitStar,Health Care,2013-2015,Fitness app,$5M,Lost steam and acquired,Killer edge needed
Ginger,Health Care,2011-2021,Mental health support,$220M,High costs and merged,Profitability matters
Goldfinch Bio,Health Care,2016-2023,Precision kidney meds,$209M,Funding dried up and slow progress,Timing is critical
Healx,Health Care,2014-2023,AI for rare diseases,$110M,Funding crunch and slow results,Deliver or downsize
Health IQ,Health Care,2014-2023,Health-based insurance,$136M,Risk models and scrutiny,Math and compliance matter
HealthRiser,Health Care,2015-2019,Posture wearable,$8M,Lost to Fitbit and costs,Mass appeal needed
HealthSpot,Health Care,2012-2016,Telemedicine kiosks,$43M,Lost to software rivals,Flexibility beats rigidity
HealthTap+,Health Care,2010-2017,Subscription telemedicine,$88M,Low retention and pivot,Sticky engagement needed
HealthifyMe,Health Care,2011-2018,Fitness app (early),$125M,Slow retention and pivot,Evolve or lose
InTouch Health,Health Care,2002-2020,Telemedicine robots,$78M,Scalability issues and sold,Plan for acquisition
iRhythm,Health Care,2006-2015,Heart monitoring patch,$150M,Reimbursement woes early,Payer alignment is key
Jawbone,Health Care,2006-2017,Fitness trackers,$930M,Competition and quality issues,Differentiate or die
Kaiku Health,Health Care,2012-2020,Cancer symptom tracking,$6M,Slow adoption and acquired,Traction matters
Kyruus,Health Care,2010-2015,Doctor matching (early),$153M,Lack of traction and pivot,Validate demand early
Lantern,Health Care,2012-2018,Digital mental health,$21M,Slow adoption and misjudgment,Plan for long cycles
Lantern Pharma,Health Care,2013-2018,AI drug repurposing,$26M,Slow results and pivot,Quick wins matter
Luminary Labs,Health Care,2017-2021,AI skincare diagnostics,$12M,Crowded market and cash out,Validate niche early
Lumeon,Health Care,2005-2023,Care orchestration,$92M,Slow sales and wind-down,Budget for long runways
MediChain,Health Care,2017-2020,Blockchain medical records,$15M,Lost to Epic and crypto crash,Real-world buy-in needed
Medicasafe,Health Care,2012-2018,Smart pill dispenser,$5M,High costs and low uptake,Simple beats complex
Mindstrong,Health Care,2014-2023,Mental health via data,$160M,No actionable insights,Prove outcomes
Modern Health,Health Care,2017-2023,Mental health for employees,$167M,Layoffs and valuation cuts,Growth must match fundamentals
Nurx,Health Care,2014-2019,Telehealth birth control,$115M,Reg hurdles and competition,Scale and compliance
Olive,Health Care,2012-2023,AI healthcare automation,$856M,Downturn and mismanagement,Adapt to shifts
Omada Health,Health Care,2011-2016,Diabetes prevention (early),$550M,Slow payer adoption and pivot,Payers drive success
Outset Medical,Health Care,2010-2015,Portable dialysis (early),$200M,Production snags and competition,Flawless execution needed
Pear Therapeutics,Health Care,2013-2023,Digital therapeutics,$409M,Reimbursement woes,Therapeutics need economics
PillPack,Health Care,2013-2018,Pre-sorted meds delivery,$118M,Profitability woes and sold,Scale or get gobbled
Proteus Digital Health,Health Care,2004-2020,Ingestible sensors,$500M,Failed partnership and costs,Don’t bet on one partner
Quit Genius,Health Care,2017-2023,Quit smoking app,$77M,Low retention and adoption,Stickiness beyond novelty
Scanadu,Health Care,2012-2016,Home vitals device,$35M,Regulatory delays and competition,Speed to market matters
Sherpaa,Health Care,2012-2019,Virtual primary care,$22M,Slow uptake and sold,Big clients fast
Sprig,Health Care,2013-2017,Healthy meal delivery,$56M,High costs and competition,Need cost advantage
StethoCloud,Health Care,2012-2015,Digital stethoscope,$1.5M,Distribution and funding,Mission needs business model
Theranos,Health Care,2003-2018,Blood testing tech,$1.4B,Fraud and tech didn’t work,Transparency is key
Tinnitracks,Health Care,2013-2020,Tinnitus treatment app,$6M,Limited proof and market,Evidence matters
uBiome,Health Care,2012-2019,Microbiome testing,$105M,Fraudulent billing,Ethics are non-negotiable
Zeo,Health Care,2008-2013,Sleep tracking headband,$30M,Competition and no viable model,Broad appeal needed
Airy Labs,Manufacturing,2 (2010-2012),Educational mobile games for kids,$1.5M,Shut down in 2012 after chaotic sprint; too many games; no focus; cash ran out,Focus beats frenzy
Ask Jeeves,Manufacturing,11 (1996-2007),Early search engine with butler mascot,$20M,Faded by 2007; lost to Google's algorithm and ad model; sold off,Innovation isn't enough
Bebo,Manufacturing,14 (2005-2019),Social networking site popular in UK,$12.8M,Shut down in 2019; lost to Facebook; AOL mismanagement; sold cheap,Network effects can crush
Burbn,Manufacturing,2 (2010-2012),Check-in app with photo-sharing,$0.5M,Closed in 2012 but pivoted to Instagram; too cluttered; users didn't care,Pivots can save
Canvas,Manufacturing,6 (2011-2017),Collaborative document editing platform,$9M,Shut down in 2017; lost to Google Docs; Dropbox Paper; no differentiation,Stand out or drown
Change.org,Manufacturing,15 (2007-2022),Petition platform for activism,$50M,"Startup phase ""shut down"" 2022; monetization alienated users; growth slowed",Mission drift costs
Chirp,Manufacturing,5 (2011-2016),App to share data via sound,$1.8M,Closed in 2016; niche; no real problem solved; adoption lagged,Cool doesn't equal useful
Cloudera,Manufacturing,15 (2008-2023),Big data analytics platform,$300M,Wound down 2023; lost to AWS; Google BigQuery; went private,Giants eat niches
Cocoon,Manufacturing,4 (2018-2022),Privacy-focused browser,$3M,Shut down 2022; lost to VPNs; Chrome; trust waned,Trust is currency
Codeacademy,Manufacturing,11 (2011-2022),Online coding lessons,$42.5M,"Acquired 2021; ""closed"" 2022; free tiers didn't convert; lost to Coursera",Freemium's a gamble
CollabFinder,Manufacturing,7 (2011-2018),Matchmaking for project collaborators,$0.75M,Shut down 2018; too niche; lost to GitHub; LinkedIn,Networks need mass
Color Labs,Manufacturing,3 (2011-2014),Photo-sharing by location,$41M,Closed 2014; confused users; lost to Instagram; Apple absorbed,Hype can't save fit
Connect,Manufacturing,6 (2010-2016),Social networking via Facebook,$10M,Shut down 2016; lost to Facebook's own features; privacy issues,Don't bet on turf
Coub,Manufacturing,9 (2012-2021),Short looping video app,$1M,Closed 2021; couldn't monetize; lost to TikTok,Timing and scale brutal
Domo,Manufacturing,13 (2010-2023),Business intelligence dashboards,$690M,Scaled back 2023; lost to Tableau; Power BI; high costs,Big bets need wins
Digg,Manufacturing,14 (2004-2018),Social news aggregator,$45M,Faded 2018; redesign tanked; lost to Reddit; sold cheap,User loyalty fragile
Drifty,Manufacturing,7 (2012-2019),Ionic mobile app framework,$4.2M,Closed 2019; open-source didn't monetize; lost to React Native,Free doesn't pay
Dropbox Paper,Manufacturing,6 (2015-2021),Collaborative doc tool,$1.7B (Dropbox),Shut down 2021; lost to Google Docs; Notion,Stick to strengths
Evernote,Manufacturing,15 (2004-2019),Note-taking app,$290M,Declined 2019; bloated features; lost to OneNote,Simplicity beats bloat
Exec,Manufacturing,3 (2012-2015),On-demand personal assistants,$3.3M,Shut down 2015; thin margins; lost to TaskRabbit,Margins matter
EyeEm,Manufacturing,12 (2011-2023),Photo-sharing and stock platform,$24M,Shut down 2023; lost to Getty; Unsplash,Scale beats niche
Factual,Manufacturing,14 (2008-2022),Location data platform,$104M,Closed 2022; merged into Foursquare; lost to Google Maps,Data's only gold if sold
Formspring,Manufacturing,7 (2009-2016),Anonymous Q&A social app,$14M,Shut down 2016; bullying scared users; lost to Facebook,Toxicity's a sword
Foursquare Swarm,Manufacturing,7 (2014-2021),Check-in app with badges,$162M (Foursquare),Ended 2021; check-ins faded; lost to Instagram,Trends fade fast
Friendster,Manufacturing,12 (2002-2014),Early social network,$48.5M,Faded 2014; slow servers; lost to Facebook,Speed and UX trump
GeoCities,Manufacturing,11 (1994-2005),Web hosting for personal pages,$0 (Yahoo $3.6B),Shut down 2005; Yahoo neglect; lost to blogs,Adapt or atrophy
GetGlue,Manufacturing,8 (2008-2016),Social TV check-in app,$24M,Closed 2016; Twitter; streaming outpaced; sold off,Niche trends risky
Gigya,Manufacturing,12 (2006-2018),Social login identity tools,$104.6M,Ended 2018; SAP acquisition; lost to Google login,Regs and giants choke
Gimlet,Manufacturing,7 (2014-2021),Podcasting narrative shows,$28.5M,Sold to Spotify 2021; couldn't scale profitably,Content's costly
Gowalla,Manufacturing,5 (2007-2012),Location-based social app,$10.4M,Shut down 2012; lost to Foursquare; Facebook acquired,Winners take all
Grooveshark,Retail Trade,11 (2006-2017),Music streaming with uploads,$4.9M,Shut down 2017; lawsuits over piracy; lost to Spotify,Legality's key
GroupMe,Retail Trade,5 (2010-2015),Group messaging app,$11.5M,Acquired 2011; faded 2015; stagnated under Skype,Acquisition dead end
HootSuite Media,Retail Trade,15 (2008-2023),Social media management tool,$249.9M,Scaled back 2023; lost to Sprout Social; native tools,Cash can't outrun
Houseparty,Retail Trade,5 (2016-2021),Group video chat app,$70M,Shut down 2021; Epic acquired; lost to Zoom,Peaks don't last
Huddle,Retail Trade,12 (2006-2018),Cloud collaboration for teams,$89.2M,Faded 2018; lost to Slack; Teams; sold off,Ecosystems win
Hulu Japan,Retail Trade,8 (2011-2019),Streaming for Japan,$680M (Hulu),Shut down 2019; sold to Nippon TV; lost to Netflix,Local beats generic
IFTTT,Retail Trade,12 (2010-2022),Automation connecting apps,$62.5M,Scaled back 2022; free users didn't pay; lost to Zapier,Free can trap
Inkling,Retail Trade,11 (2009-2020),Digital publishing for e-books,$48M,Closed 2020; lost to Kindle; Google Books,Niche needs demand
Instagram Live,Retail Trade,5 (2016-2021),Live-streaming on Instagram,$57.5M (Instagram),Phased out 2021; lost to TikTok; Meta shifted,Features can fade
Intercom,Retail Trade,12 (2011-2023),Customer messaging platform,$240.8M,"Startup phase ""shut down"" 2023; lost to Zendesk",Giants catch up
Invision,Retail Trade,12 (2011-2023),Design collaboration platform,$350M,Scaled back 2023; lost to Figma; Adobe,Better beats big
Jawbone,Retail Trade,18 (1999-2017),Fitness trackers with data,$930M,Shut down 2017; lost to Fitbit; buggy tech,Execution outranks cash
Jetpac,Retail Trade,5 (2011-2016),AI travel recommendation app,$4.4M,Closed 2016; Google bought; couldn't scale solo,Small can sell
Kik,Retail Trade,13 (2009-2022),Messaging app for teens,$120.5M,Shut down 2022; privacy scandals; lost to WhatsApp,Trust is king
Knewton,Retail Trade,12 (2008-2020),Adaptive learning platform,$182.3M,Sold 2020; overhyped AI; lost to Pearson,Prove the pudding
Mailbox,Retail Trade,3 (2012-2015),Sleek email app,$5.3M,Shut down 2015; Dropbox bought; stagnated,Acquisition stalls
Maker Media,Retail Trade,14 (2005-2019),DIY tech magazine and events,$10M,Closed 2019; print declined; events didn't cover costs,Passion doesn't pay
Medium One,Retail Trade,6 (2014-2020),IoT data processing platform,$3M,Shut down 2020; lost to AWS IoT; low visibility,Giants dominate IoT
Milk,Retail Trade,3 (2011-2014),Mobile apps like Oink,$1.5M,Closed 2014; Google bought; Oink flopped,Validate before build
Mixpanel,Retail Trade,14 (2009-2023),User behavior analytics,$277M,"Startup phase ""shut down"" 2023; lost to Amplitude",Lead or lose
Mobli,Retail Trade,7 (2010-2017),Photo and video-sharing app,$86M,Shut down 2017; lost to Instagram,Stars don't guarantee
Music.ly,Retail Trade,4 (2014-2018),Lip-sync video app,$16.1M,Merged into TikTok 2018; couldn't scale solo,Small fish swallowed
MySpace,Retail Trade,15 (2003-2018),Social networking pioneer,$12.8M,Faded 2018; lost to Facebook; News Corp mismanaged,UX trumps leads
Netscape,Retail Trade,9 (1994-2003),First big web browser,$20M,Shut down 2003; lost to Microsoft IE,Titans tilt field
NewsTilt,Retail Trade,2 (2010-2012),Platform for journalists,$0.5M,Closed 2012; no journalists or readers; misread need,Markets need sides
Notion AI,Retail Trade,5 (2018-2023),AI productivity feature,$343M (Notion),Phased out 2023; didn't stand out,Features need identity
Nuzzel,Retail Trade,7 (2012-2019),News curation via Twitter,$5.1M,Shut down 2019; Scroll acquired; lost to Twitter,Platforms evolve
Path,Retail Trade,8 (2010-2018),Private social network,$59M,Closed 2018; niche; privacy scandal,Privacy's tightrope
Periscope,Retail Trade,5 (2015-2020),Live-streaming app,$1.5M (Twitter $645M),Shut down 2020; lost to Instagram Live,Trends shift platforms
Photobucket,Retail Trade,15 (2003-2018),Photo-hosting site,$15M,Faded 2018; lost to Instagram; paywall backlash,Don't alienate base
Pinterest UK,Retail Trade,8 (2012-2020),UK-specific curation,$1.5B (Pinterest),Phased out 2020; absorbed by global Pinterest,Global trumps silos
Piston Cloud,Retail Trade,6 (2011-2017),OpenStack cloud software,$12.5M,Sold 2017; lost to AWS; OpenStack free,Free kills premium
Plex,Retail Trade,15 (2008-2023),Media server streaming,$60M,"Startup phase ""shut down"" 2023; lost to Netflix",Niche caps growth
Pocket,Retail Trade,11 (2007-2018),Save-for-later app,$14.5M,"Acquired 2017; ""closed"" 2018; lost to Evernote",Free limits scale
Pulse,Retail Trade,7 (2010-2017),News reader app,$10M,Sold to LinkedIn 2013; faded 2017; lost to Flipboard,Buyers can bury
Quibb,Retail Trade,6 (2013-2019),Professional networking links,$0.75M,Shut down 2019; too niche; lost to LinkedIn,Niche needs scale
Quid,Retail Trade,12 (2008-2020),AI trend analytics,$79M,Merged 2020; lost to Google Trends,Differentiation's key
Quixey,Retail Trade,8 (2009-2017),Mobile app search engine,$165M,Shut down 2017; lost to Apple/Google search,Solve a real pain
