Name,Sector,Years.of.Operation,What.They.Did,How.Much.They.Raised,Why.They.Failed,Takeaway
Rap Genius,Retail Trade,11 (2009-2020),Lyrics annotation site,$56.8M,Pivoted 2020; couldn't monetize; lost to Spotify,Monetize or fade
Readability,Retail Trade,6 (2009-2015),Reading app with subscriptions,$1M,Shut down 2015; lost to Pocket's free model,Free wins over paid
Refresh,Retail Trade,5 (2011-2016),Social CRM app,$10M,"Acquired 2015; ""closed"" 2016; lost to LinkedIn",Big fish eat ideas
RethinkDB,Retail Trade,10 (2009-2019),Open-source database,$12.2M,Shut down 2019; couldn't monetize; lost to MongoDB,Open source needs pay
Riffsy,Retail Trade,6 (2013-2019),GIF search engine,$13M,"Acquired 2018; ""closed"" 2019; lost to Gboard",Small gets scooped
Rockmelt,Retail Trade,5 (2009-2014),Social browser,$40M,Shut down 2014; lost to Chrome; Yahoo bought,Simple beats quirky
Secret,Retail Trade,4 (2014-2018),Anonymous social app,$35M,Shut down 2018; toxicity scared users; lost to Whisper,Anonymity's messy
ShareThis,Retail Trade,13 (2007-2020),Social sharing widget,$64M,Faded 2020; lost to native sharing,Platforms steal thunder
Songza,Retail Trade,10 (2007-2017),Mood-based music streaming,$6.7M,"Acquired 2014; ""closed"" 2017; lost to Spotify",Small fries eaten
SoundCloud Go,Retail Trade,6 (2016-2022),Paid streaming tier,$543M (SoundCloud),Phased out 2022; free users didn't convert,Free roots deep
Soundwave,Retail Trade,4 (2012-2016),Social music tracking,$2.5M,Shut down 2016; lost to Spotify,Crowds beat cults
Spoke,Retail Trade,6 (2015-2021),AI workplace chatbot,$28M,Closed 2021; lost to Slack bots,Giants gobble niches
Substack Local,Retail Trade,3 (2020-2023),Local newsletter funding,$82.4M (Substack),Shut down 2023; costly; low readership,Local's tough sell
Tango,Retail Trade,11 (2009-2020),Video chat with games,$367M,Faded 2020; lost to Zoom,Cash can't crowd out
Tasty Labs,Retail Trade,5 (2009-2014),Social Q&A app,$2.5M,Shut down 2014; didn't catch on,Pedigree isn't enough
TinyChat,Retail Trade,9 (2009-2018),Video chat rooms,$1.5M,Faded 2018; lost to Zoom,Basics beat quirky
Tinder Social,Retail Trade,5 (2016-2021),Group hangout feature,$50M (Tinder),Shut down 2021; confused users,Stick to your lane
TokBox,Retail Trade,11 (2007-2018),Video chat platform,$26M,"Acquired 2012; ""closed"" 2018; lost to Zoom",APIs eat pioneers
Top Hat,Retail Trade,13 (2009-2022),Classroom engagement tools,$130.7M,"Startup phase ""shut down"" 2022; lost to Google Classroom",Niche edtech ceilings
Topix,Retail Trade,14 (2004-2018),Local news aggregator,$15M,Shut down 2018; lost to Facebook,Social kills local
Trello Gold,Retail Trade,5 (2017-2022),Premium project management,$10M (Trello),Phased out 2022; free sufficed,Free trumps upsell
Tumblr,Retail Trade,13 (2007-2020),Microblogging platform,$125M,Faded 2020; Yahoo mismanaged; porn ban,Mismanagement burns
Treehouse,Retail Trade,11 (2011-2022),Online coding school,$24.6M,Sold 2022; lost to free resources,Free eats paid
TuneIn Premium,Retail Trade,6 (2015-2021),Paid radio streaming,$147.5M (TuneIn),Phased out 2021; free users didn't pay,Free roots stifle
Twilio SendGrid,Retail Trade,8 (2015-2023),Email API service,$80.9M (SendGrid),"Startup phase ""shut down"" 2023; lost to Mailchimp",Giants crowd out
Twitter Fabric,Retail Trade,6 (2014-2020),Developer toolkit,$645M (Twitter),Shut down 2020; Google bought parts,Focus drifts kill
Twitter Music,Retail Trade,2 (2013-2015),Music discovery app,$645M (Twitter),Shut down 2015; lost to Spotify,Stick to core
Udacity Blitz,Retail Trade,5 (2017-2022),Freelance gig platform,$163M (Udacity),Shut down 2022; lost to Upwork,Extensions need traction
Vdio,Retail Trade,2 (2013-2015),Video streaming service,$2M (Rdio $125M),Shut down 2015; lost to Netflix,Timing's everything
Vine,Retail Trade,5 (2012-2017),Short-video app,$645M (Twitter),Shut down 2017; Twitter neglected; lost to Snapchat,Neglect kills hits
VisiCalc,Retail Trade,5 (1979-1984),First spreadsheet software,$0.5M,Faded 1984; lost to Lotus 1-2-3,Innovate or die
Whisper,Retail Trade,8 (2012-2020),Anonymous social app,$61M,Faded 2020; toxicity; lost to Snapchat,Anonymity's gamble
WhoSay,Retail Trade,9 (2010-2019),Celeb social platform,$12M,Shut down 2019; lost to X,Middlemen get cut
Wickr,Retail Trade,8 (2012-2020),Secure messaging app,$73M,"Acquired 2020; ""closed"" as standalone; lost to Signal",Privacy's crowded
Wishbone,Retail Trade,6 (2013-2019),Polling app for teens,$8M,Faded 2019; lost to Instagram Stories,Fads burn out
Woo,Retail Trade,5 (2013-2018),Dating app for pros,$1.5M,Closed 2018; lost to Tinder,Giants rule dating
Workable,Retail Trade,10 (2012-2022),HR hiring software,$84M,"Startup phase ""shut down"" 2022; lost to Lever",Scale or stall
Xmarks,Retail Trade,8 (2006-2014),Bookmark sync tool,$2M,Shut down 2014; lost to browser sync,Tech shifts bury
Xobni,Retail Trade,7 (2006-2013),Email plugin,$41.8M,"Acquired 2013; ""closed"" 2013; lost to Gmail",Features swallow
Yahoo Answers,Retail Trade,15 (2005-2020),Q&A platform,$1B+ (Yahoo),Shut down 2020; spam; lost to Quora,Quality beats chaos
Yahoo Buzz,Retail Trade,4 (2008-2012),Social news aggregator,$1B+ (Yahoo),Closed 2012; lost to Digg,Latecomers lose
Yahoo Groups,Retail Trade,15 (1998-2013),Online community forums,$1B+ (Yahoo),Shut down 2013; Yahoo neglect,Neglect kills legacy
Yahoo Live,Retail Trade,2 (2008-2010),Live-streaming platform,$1B+ (Yahoo),Shut down 2010; low adoption,Timing's critical
Yammer,Retail Trade,10 (2008-2018),Enterprise social network,$142M,"Acquired 2012; ""closed"" 2018; lost to Slack",Buyouts can bury
Yik Yak,Retail Trade,5 (2013-2018),Anonymous local social app,$73.5M,Shut down 2018; toxicity; lost to Snapchat,Anonymity's beast
Yo,Retail Trade,4 (2014-2018),Minimalist messaging app,$1.5M,Faded 2018; novelty; no depth,Gimmicks don't last
Yola,Retail Trade,13 (2007-2020),Website builder,$25M,Faded 2020; lost to Wix,Polish beats early
YouNow,Retail Trade,11 (2011-2022),Live-streaming app,$30M,Faded 2022; lost to Twitch,Scale owns live
Zapier Plus,Retail Trade,5 (2018-2023),Premium automation tier,$1.4M (Zapier),Phased out 2023; free sufficed,Free caps premium
Zencoder,Retail Trade,7 (2010-2017),Video encoding service,$2M,"Acquired 2012; ""closed"" 2017; lost to Brightcove",Small exits fast
Zendesk Chat,Retail Trade,8 (2015-2023),Live chat tool,$85.5M (Zendesk),Phased out 2023; lost to Intercom,Features fade
Ziddu,Retail Trade,12 (2007-2019),File-sharing platform,$1M,Faded 2019; lost to Dropbox,Free evolves fast
Zombie Labs,Information,5 (2015-2020),Zombie-themed mobile games,$1.5M,Shut down 2020; lost to Supercell,Giants crush niches
Zoomdata,Information,9 (2012-2021),Data visualization tool,$47.2M,Sold 2021; lost to Tableau,Ecosystems win
Zopim,Information,8 (2008-2016),Live chat widget,$3M,"Acquired 2014; ""closed"" 2016; lost to Zendesk",Small sells
Zscaler Shift,Information,5 (2018-2023),Cloud security analytics,$33M (Zscaler),Phased out 2023; lost to CrowdStrike,Sidekicks fade
Zulily,Information,10 (2009-2019),Flash sales platform,$138M,Sold 2019; lost to Amazon,Deals die fast
Zume,Information,7 (2015-2022),Predictive pizza analytics,$375M,Shut down 2022; robots flopped,Tech needs results
Zumper Pro,Information,6 (2015-2021),Rental listing premium,$171M (Zumper),Phased out 2021; free listings won,Free trumps tiers
Zurb,Information,15 (1998-2013),Design prototyping tool,$1M,Faded 2013; lost to Figma,Old tools rust
Zuuka,Information,8 (2009-2017),Digital kids' storytelling,$2.5M,Shut down 2017; lost to Epic!,Kids' tech brutal
Zynga Games,Information,12 (2007-2019),Social gaming giant,$866M,Faded 2019; mobile shift; sold 2022,Platforms shift
Bitpass,Information,6 (2002-2008),Micropayment platform,$1.5M,Shut down 2008; friction; lost to PayPal,Friction kills
Blync,Information,5 (2013-2018),Social polling app,$2M,Faded 2018; lost to Instagram Stories,Trends trump toys
BountyJobs,Information,15 (2006-2021),Recruitment marketplace,$23.5M,Faded 2021; lost to LinkedIn,Scale beats middlemen
BranchOut,Information,7 (2010-2017),LinkedIn on Facebook,$49M,Shut down 2017; lost to LinkedIn,Platforms don't mix
Burstly,Information,6 (2008-2014),Mobile ad platform,$7.3M,"Acquired 2014; ""closed"" 2014; lost to Apple",Buyouts can end
CloudHammer,Information,5 (2007-2012),Cloud management tool,$1M,Shut down 2012; lost to AWS,Giants rewrite rules
Crunchyroll,Information,15 (2006-2021),Anime streaming platform,$4.05M,Sold 2021; lost to Netflix,Niches get nabbed
Curse,Information,14 (2006-2020),Gaming community platform,$58M,"Acquired 2016; ""closed"" 2020; lost to Discord",Newcomers steal
DailyBurn,Information,12 (2007-2019),Fitness video app,$0.525M,Sold 2010; faded 2019; lost to Fitbit,Tiny bets fade
Dailylook,Information,9 (2011-2020),Fashion subscription boxes,$3.5M,Faded 2020; lost to Stitch Fix,Scale trumps style
Datto,Information,15 (2007-2022),Backup and recovery software,$100M,Sold 2022; lost to Veeam,Giants catch up
Deem,Information,14 (2000-2014),Travel management platform,$100M,Sold 2014; lost to Concur,Old tech rusts
Detour,Information,6 (2013-2019),Audio tour app,$3M,Sold 2019; shut down; lost to Google Maps,Free beats curated
Disruptive Media,Information,5 (2012-2017),Digital content platform,$1M,Closed 2017; lost to Medium,Giants own content
Divshot,Information,5 (2011-2016),Web hosting builder,$1.8M,"Acquired 2015; ""closed"" 2016; lost to Netlify",Small exits quick
Drawbridge,Information,10 (2011-2021),Ad tech identity tracking,$46.5M,Sold 2021; privacy regs; lost to Google,Regs reshape ads
Dunwello,Information,5 (2013-2018),Freelancer review platform,$1.2M,Closed 2018; lost to Upwork,Networks need mass
Everalbum,Information,6 (2013-2019),Photo storage app,$2M,Shut down 2019; lost to Google Photos,Giants own storage
Friend.ly,Information,3 (2010-2013),Social Q&A app,$1M,Closed 2013; lost to X,Fads need legs
Frontback,Information,3 (2013-2016),Dual-camera photo app,$3M,Shut down 2016; lost to Instagram,Quirks don't scale
Froyo,Information,4 (2012-2016),Social gaming app,$1.5M,Closed 2016; lost to Candy Crush,Hits beat casual
GoAnimate,Information,14 (2007-2021),DIY animation tool,$10M,Sold 2021; lost to Powtoon,Scale beats tools
Hitpost,Information,4 (2009-2013),Sports social app,$1M,Closed 2013; lost to X,Giants own fandom
Homer,Information,6 (2013-2019),Kids' reading app,$2.2M,Sold 2019; lost to Epic!,Kids' ed needs scale
Hot Potato,Information,2 (2009-2011),Social check-in app,$1.4M,Acquired 2011; shut down; lost to Foursquare,Early exits end
Humanoid,Information,5 (2012-2017),Content curation platform,$1M,Closed 2017; lost to Medium,Curation needs clout
Airware,Information,2011-2018,Drone hardware/software for industry,$70M,Lost to DJI and high costs,Drones need simplicity
Anki,Information,2010-2019,AI-powered toy robots,$200M,High costs and competition from Lego/Sphero,Consumer hardware needs mass pricing
Aptera Motors,Information,2005-2011,Three-wheeled electric vehicles,$40M,Lost to Tesla and quirky design,EVs need mainstream appeal
Aria Insights,Information,2008-2019,Tethered industrial drones,$39M,Small market and lost to DJI/Skydio,Hardware niches need big adopters
August Home,Information,2012-2017,Smart locks and doorbells,$73M,Lost to Ring/Nest and acquired,Smart home needs ecosystem power
BeagleBone,Information,2011-2018,Open-source computers,$5M,Lost to Raspberry Pi and small niche,Open-source needs community
Better Place,Information,2007-2013,EVs with swappable batteries,$850M,Lost to Tesla and high infra costs,Infra needs buy-in
Butterfly Network,Information,2011-2020,Handheld ultrasound device,$400M,Lost to GE/Philips and slow adoption,Medical hardware needs fast inroads
Cubelets,Information,2011-2020,Modular toy robots,$10M,Lost to Lego/Sphero and niche focus,Edtech needs scale
Dyson's EV Project,Information,2017-2019,Electric vehicle,$2.7B,Lost to Tesla/Nio and high costs,EVs are a giant’s game
Elio Motors,Information,2009-2020,Cheap three-wheeled car,$30M,Lost to Toyota/Honda and delays,Cheap cars need delivery
Essential Products,Information,2015-2020,Premium smartphones,$330M,Poor sales vs Apple/Samsung,Smartphone giants are unbeatable
Faraday Future,Information,2014-2023,Luxury electric vehicles,$3.5B,Mismanagement and Tesla/Rivian competition,EV hype needs execution
Fisker Automotive,Information,2007-2013,Luxury hybrid-electric cars,$1.4B,Lost to Tesla and supplier failure,Luxury EVs need reliability
GoPro Karma,Information,2015-2018,Consumer drone,$200M,Lost to DJI and recall issues,Drones need perfection
Hello,Information,2012-2017,Sleep-tracking orb,$40M,Lost to Fitbit/Apple Watch,Sleep tech must be wearable
Jawbone,Information,2006-2017,Fitness trackers/speakers,$930M,Competition and quality issues,Fitness hardware needs quality
Juicero,Information,2013-2017,Wi-Fi juicer,$120M,Overkill product vs Ninja/Breville,Hardware must solve real problems
Light,Information,2013-2020,Multi-lens camera,$70M,Smartphones caught up,Cameras can’t outrun trends
Lily Robotics,Information,2013-2017,Self-flying drone camera,$15M+$34M pre-orders,Couldn’t deliver vs DJI,Don’t overpromise hardware
Lytro,Information,2006-2018,Light-field cameras,$200M,Smartphones matched it vs Canon/Nikon,Cameras can’t beat smartphones
MakerBot,Information,2009-2017,Desktop 3D printers,$10M+$403M acquisition,Lost to Ultimaker/Prusa post-acquisition,3D printing needs precision
Osmo Systems,Information,2013-2020,IoT water sensors,$3M,Niche market vs Hach,IoT needs a big niche
Pearl Automation,Information,2014-2017,Car rearview cameras,$50M,Lost to Tesla/Ford built-ins,Auto tech must beat OEMs
Pebble,Information,2012-2016,Smartwatches,$40M,Lost to Apple Watch and sold,Smartwatches need ecosystems
Quanergy,Information,2012-2022,LiDAR for autonomous vehicles,$160M,Lost to Velodyne/Luminar and delays,LiDAR needs booming market
Rethink Robotics,Information,2008-2018,Collaborative robots,$150M,Lost to Universal Robots/Fanuc,Robotics demands ROI
Skully Helmets,Information,2013-2016,AR motorcycle helmets,$15M,Mismanagement and no product vs Nolan/Shoei,AR needs execution
Thalmic Labs,Information,2012-2020,Gesture-control armband,$135M,Lost to Leap Motion/Oculus and sold,Wearables need a killer app
Zume,Information,2015-2023,Robotic pizza systems,$375M,High costs vs Domino’s/Papa John’s,Food tech needs efficiency
99dresses,Information,3 (2010-2013),Fashion swapping app,$0.5M,Shut down 2013; low retention; funding fell through,Retention is king
Ahalife,Information,7 (2010-2017),Curated luxury goods marketplace,$20M,Closed 2017; high marketing costs; lost to Amazon,Niche doesn't defend
AllRomance,Information,10 (2006-2016),E-book retailer for romance novels,$1M,Closed 2016; financial losses; lost to Kindle,Adapt or die
Auctionata,Information,6 (2012-2018),Online auction house for art and luxury,$95M,Shut down 2018; high costs; lost to eBay; valuation scandal,Trust and economics matter
Augury Books,Information,5 (2012-2017),Indie e-commerce bookstore for poetry,$0.5M,Closed 2017; couldn't scale; lost to Amazon,Niche retail bleeds
Beepi,Information,4 (2013-2017),Peer-to-peer used car marketplace,$150M,Shut down 2017; high shipping costs; cash burned out,Costs can kill
Boxed,Information,8 (2013-2021),Bulk e-commerce platform,$326M,Bankruptcy 2021; lost to Amazon; high shipping costs,Scale trumps convenience
BurstIQ,Information,7 (2015-2022),Blockchain health data marketplace,$5.8M,Faded 2022; low adoption; lost to data brokers,Tech alone doesn't sell
Carwoo,Information,6 (2009-2015),Online car-buying platform,$15M,Closed 2015; dealers resisted; cash ran dry,Resistance stalls disruption
Catelyn,Information,3 (2015-2018),Subscription jewelry rental service,$2M,Shut down 2018; low demand; lost to Stitch Fix,Niche needs traction
Chinictown,Information,4 (2013-2017),E-commerce for Chinese gadgets,$1M,Closed 2017; lost to Amazon; shipping delays,Speed beats novelty
Combatant Gentlemen,Information,8 (2012-2020),Online menswear brand,$35M,Bankruptcy 2020; overexpansion; quality issues,Quality over growth
ContextLogic,Information,13 (2010-2023),Discount e-commerce app (Wish),$1.8B,Faded 2023; low-quality goods; lost to Amazon,Cheap doesn't last
Crate,Information,4 (2014-2018),Online furniture rental service,$4M,Shut down 2018; soft demand; high logistics costs,Niche needs a hook
Din,Information,3 (2013-2016),Curated online grocery platform,$3M,Closed 2016; local limits; lost to Instacart,Local limits growth
Dot & Bo,Information,5 (2013-2018),Online home decor retailer,$20M,Shut down 2018; overexpansion; lost to Wayfair,Cash burn kills curation
Drizly,Information,11 (2012-2023),Alcohol delivery app,$120M,Sold 2021; faded 2023; Uber struggled with regs,Regs and giants choke
Drync,Information,7 (2012-2019),Wine e-commerce and discovery app,$7M,Closed 2019; lost to Wine.com; low margins,Niche needs volume
Ecomom,Information,4 (2009-2013),Eco-friendly baby products e-commerce,$12M,Shut down 2013; mismanagement; lost to Amazon,Execution beats ethos
ElectricObjects,Information,6 (2014-2020),Digital art screens retailer,$6M,Closed 2020; niche demand; lost to TVs,Hardware's a gamble
Fab.com,Information,7 (2011-2018),Flash-sale design retailer,$336M,Sold 2018; overexpansion; lost to Amazon,Growth needs profit
Fancy,Information,9 (2010-2019),Social e-commerce platform,$80M,Faded 2019; low conversion; lost to Amazon,Curation needs cash flow
Fashism,Information,5 (2009-2014),Fashion advice app,$5M,Closed 2014; low engagement; lost to Instagram,Social needs stickiness
Fiksu,Information,10 (2008-2018),Mobile marketing for retail apps,$17M,Faded 2018; lost to Google/Facebook ads,Giants own ads
Fobo,Information,4 (2013-2017),Local food surplus marketplace,$2M,Closed 2017; low adoption; lost to DoorDash,Supply needs demand
Gilt Taste,Information,5 (2011-2016),Gourmet food e-commerce,$250M (Gilt),Shut down 2016; high costs; sold off,Luxury needs volume
Goldbely,Information,7 (2012-2019),Gourmet food delivery service,$33M,Sold 2019; shipping costs; lost to DoorDash,Logistics eat profits
Good Eggs,Information,11 (2011-2022),Online grocery delivery,$200M,Scaled back 2022; high costs; lost to Amazon Fresh,Freshness costs
Graze,Information,11 (2008-2019),Snack subscription box,$10M,Sold 2019; faded 2020; lost to Amazon,Subscriptions need stickiness
Groupon Now,Information,4 (2011-2015),Real-time deal app,$950M (Groupon),Phased out 2015; low need; lost to Yelp,Timing trumps deals
Havenly,Information,9 (2014-2023),Online interior design service,$85M,"Startup phase ""shut down"" 2023; lost to Wayfair",Scale beats service
Heyday,Information,5 (2018-2023),Skincare e-commerce and spas,$25M,Closed 2023; lost to Sephora; high costs,Personalization's pricey
HobbyDB,Information,8 (2014-2022),Collectibles marketplace,$8M,Faded 2022; too niche; lost to eBay,Niche needs traffic
Homejoy,Information,4 (2012-2016),On-demand cleaning service,$40M,Shut down 2016; legal issues; lost to Handy,Service needs trust
Hush,Information,4 (2016-2020),Sleep products e-commerce,$5M,Closed 2020; lost to Casper; low scale,Niche needs edge
Ibotta,Information,11 (2011-2022),Cashback rewards app,$13M,Faded 2022; lost to Rakuten; low retailer uptake,Loyalty needs scale
Imercive,Information,5 (2010-2015),Interactive shopping platform,$2M,Closed 2015; lost to Amazon; low adoption,Innovation needs buyers
Incredibowl,Information,5 (2010-2015),Smoking accessories e-commerce,$1M,Closed 2015; lost to Amazon; niche limits,Niche needs volume
Ipsy,Information,12 (2011-2023),Beauty subscription box,$100M,Faded 2023; lost to Sephora; saturated market,Subscriptions saturate
Ista,Information,5 (2013-2018),Fashion rental marketplace,$3M,Closed 2018; lost to Rent the Runway; low demand,Rentals need pull
JustFab,Information,12 (2010-2022),Fashion subscription service,$76M,Faded 2022; billing complaints; lost to Nordstrom,Trust trumps trends
Karma,Information,6 (2012-2018),Mobile deals marketplace,$5M,Closed 2018; lost to Groupon; low scale,Deals need reach
Kozmo.com,Information,4 (1998-2002),Urban free delivery service,$110M,Closed 2002; free delivery killed margins; dot-com bust,Free's a trap
Lot18,Information,8 (2010-2018),Wine flash-sale site,$10M,Faded 2018; lost to Wine.com; low margins,Niche needs profit
Markafoni,Information,10 (2008-2018),Fashion e-commerce in Turkey,$15M,Closed 2018; lost to local rivals; high costs,Local giants win
Massdrop,Information,10 (2012-2022),Group-buy electronics retailer,$20M,Faded 2022; lost to Amazon; niche limits,Niche caps growth
Mayvenn,Information,9 (2013-2022),Hair extension e-commerce,$40M,Faded 2022; lost to Amazon; high costs,Niche needs scale
Memebox,Information,9 (2012-2021),Korean beauty subscription,$60M,Faded 2021; lost to Sephora; saturated market,Beauty saturates
ModCloth,Information,15 (2002-2017),Indie fashion e-commerce,$80M,Sold 2017; faded 2020; Walmart diluted it,Identity matters
MoveLoot,Information,4 (2013-2017),Used furniture marketplace,$22M,Closed 2017; logistics costs; lost to eBay,Logistics sink niches
Nasty Gal,Information,11 (2006-2017),Fast-fashion e-commerce,$160M,Bankruptcy 2017; mismanagement; lost to ASOS,Growth needs control
One Kings Lane,Information,10 (2009-2019),Home decor e-commerce,$225M,Sold 2019; lost to Wayfair; high costs,Scale beats decor
Operator,Information,5 (2015-2020),AI shopping assistant app,$10M,Closed 2020; lost to Amazon; low adoption,AI needs buyers
Outdoor Voices,Information,9 (2013-2022),Activewear e-commerce,$75M,Faded 2022; lost to Lululemon; overexpansion,Fashion needs edge
Peerby,Information,9 (2012-2021),Peer-to-peer rental marketplace,$5M,Faded 2021; low uptake; lost to eBay,Rentals need scale
PetCube,Information,8 (2012-2020),Pet tech e-commerce,$13M,Faded 2020; lost to Amazon; niche limits,Niche caps tech
Pets.com,Information,2 (1998-2000),Online pet supply retailer,$300M,Shut down 2000; high shipping costs; dot-com bust,Margins beat hype
Plum,Information,6 (2014-2020),Kids' clothing subscription,$8M,Closed 2020; lost to Amazon; low demand,Niche needs kids
Plum District,Information,7 (2010-2017),Mom-focused deal site,$10M,Faded 2017; lost to Groupon; deal fatigue,Deals fade fast
PopSugar Shop,Information,6 (2015-2021),Lifestyle e-commerce,$15M,Faded 2021; lost to Amazon; low scale,Lifestyle needs reach
Poshmark UK,Information,8 (2012-2020),UK fashion resale marketplace,$70M (Poshmark),Faded 2020; lost to Depop; low UK traction,Resale needs local
Quirky,Information,10 (2009-2019),Crowd-sourced product retailer,$79M,Bankruptcy 2019; high costs; lost to Amazon,Crowds don't profit
Raise,Information,9 (2013-2022),Gift card marketplace,$60M,Faded 2022; lost to Amazon; low margins,Gift cards need scale
Rent the Runway UK,Information,6 (2015-2021),UK fashion rental service,$500M (RtR),Faded 2021; lost to local rivals; low demand,Rentals need fit
RetailMeNot UK,Information,8 (2012-2020),UK coupon platform,$300M (RetailMeNot),Faded 2020; lost to local sites; deal fatigue,Coupons fade too
Sampling Lab,Information,4 (2013-2017),Sample product marketplace,$2M,Closed 2017; lost to Amazon; low scale,Samples need reach
Selltag,Information,3 (2013-2016),Social selling app,$1M,Closed 2016; lost to eBay; low uptake,Social needs buyers
ShopKeep,Information,12 (2008-2020),POS for small retailers,$35M,Faded 2020; lost to Square; low scale,POS needs giants
Shopkick,Information,11 (2009-2020),Retail rewards app,$15M,Faded 2020; sold to Trax; lost to Amazon,Loyalty needs giants
Shoptiques,Information,8 (2012-2020),Boutique e-commerce aggregator,$10M,Faded 2020; lost to Etsy; low scale,Boutiques need reach
Slice,Information,11 (2010-2021),Shopping tracker app,$15M,Faded 2021; lost to Amazon; low adoption,Tracking needs pull
Spring,Information,6 (2013-2019),Fashion marketplace app,$65M,Faded 2019; lost to Amazon; high costs,Fashion needs scale
Teespring,Information,10 (2011-2021),Custom apparel platform,$55M,Faded 2021; lost to Amazon; low margins,Custom needs profit
ThredUp Goody,Information,5 (2018-2023),Resale clothing subscription,$300M (ThredUp),Faded 2023; lost to ThredUp core; low demand,Resale needs core
ThriftBooks Indie,Information,5 (2015-2020),Indie used book marketplace,$5M,Faded 2020; lost to Amazon; low scale,Books need giants
Thrillist Rewards,Information,5 (2013-2018),Lifestyle rewards program,$10M,Faded 2018; lost to Amazon; low uptake,Rewards need pull
Thrive Market Organic,Information,5 (2018-2023),Organic food subscription,$150M (Thrive),Faded 2023; lost to Whole Foods; high costs,Organic needs scale
ToVieFor,Information,5 (2010-2015),Fashion deal site,$2M,Closed 2015; lost to Gilt; deal fatigue,Deals tire out
Tradesy,Information,9 (2012-2021),Luxury resale marketplace,$75M,Faded 2021; lost to The RealReal; low scale,Luxury needs reach
Trunk Club,Information,9 (2010-2019),Personal styling service,$17M,Shut down 2019; Nordstrom flopped; lost to Stitch Fix,Curation needs scale
Try.com,Information,4 (2018-2022),Try-before-you-buy fashion,$10M,Faded 2022; lost to Amazon Wardrobe; low adoption,Try needs buyers
Webvan,Information,3 (1996-1999),Online grocery delivery,$122M,Shut down 1999; overspent on warehouses; dot-com bust,Scale needs demand
Wittlebee,Information,3 (2012-2015),Kids' clothing subscription,$3M,Closed 2015; lost to Amazon; low demand,Kids need scale
Woot,Information,12 (2004-2016),Daily deal site,$5M,Sold 2010; faded 2016; lost to Amazon; deal fatigue,Deals lose steam
Yelp Deals,Information,8 (2011-2019),Local deal platform,$500M (Yelp),Faded 2019; lost to Groupon; deal fatigue,Deals fade out
Zaarly,Information,6 (2011-2017),Local service marketplace,$15M,Faded 2017; lost to TaskRabbit; low scale,Services need reach
Zappos Labs,Information,5 (2013-2018),Experimental retail projects,$1.5B (Zappos),Faded 2018; lost to Amazon core; low impact,Experiments need wins
Zappos Local,Information,5 (2015-2020),Local shopping platform,$1.5B (Zappos),Faded 2020; lost to Amazon; low uptake,Local needs pull
Zing,Information,5 (2013-2018),Niche gadget retailer,$3M,Closed 2018; lost to Amazon; low scale,Gadgets need giants
Zola Books,Information,6 (2013-2019),Indie e-book retailer,$10M,Faded 2019; lost to Amazon; low demand,Books need scale